ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713338.885,2.4,100.0,24.74,21.0,0.0,0,0,0,31.99,0,0,0,30.89,0,0,0,30.62,0,0,0,30.60
1785713339.885,2.7,90.0,24.78,14.0,0.0,0,0,0,31.99,0,0,0,30.99,0,0,0,30.52,0,0,0,30.65
1785713340.886,2.3,100.0,24.81,30.0,0.0,0,0,0,31.99,0,0,0,30.99,0,0,0,30.47,0,0,0,30.66
1785713341.886,2.6,100.0,24.77,17.0,0.0,0,0,0,32.09,0,0,0,30.89,0,0,0,30.57,0,0,0,30.67
1785713342.886,3.2,100.0,24.75,12.0,0.0,0,0,0,32.09,0,0,0,30.89,0,0,0,30.57,0,0,0,30.71
1785713343.886,2.9,85.0,24.76,6.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.51,0,0,0,30.66
1785713344.886,1.7,100.0,24.75,9.0,0.0,0,0,0,31.95,0,0,0,30.85,0,0,0,30.46,0,0,0,30.61
1785713345.886,2.7,88.0,24.76,22.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.42,0,0,0,30.66
1785713346.886,1.8,100.0,24.75,19.0,0.0,0,0,0,32.05,0,0,0,30.74,0,0,0,30.52,0,0,0,30.66
1785713347.886,2.4,100.0,24.75,34.0,0.0,0,0,0,32.00,0,0,0,30.79,0,0,0,30.52,0,0,0,30.65
1785713348.886,2.0,100.0,24.75,21.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.66
1785713349.887,2.0,78.8,24.75,20.0,0.0,0,0,0,32.03,0,0,0,30.84,0,0,0,30.52,0,0,0,30.67
1785713350.887,2.0,100.0,24.75,24.0,0.0,0,0,0,31.98,0,0,0,30.84,0,0,0,30.52,0,0,0,30.67
1785713351.887,2.0,72.3,24.75,19.0,0.0,0,0,0,31.94,0,0,0,30.79,0,0,0,30.52,0,0,0,30.67
1785713352.887,2.4,100.0,24.76,18.0,0.0,0,0,0,31.94,0,0,0,30.75,0,0,0,30.52,0,0,0,30.62
